frame,angle,angle_from_vertical,length,x_diff,is_tired,direction
0,75.14,14.86,0.178,39.0,0,naprej
1,73.44,16.56,0.181,44.0,0,naprej
2,73.69,16.31,0.179,43.0,0,naprej
3,73.34,16.66,0.180,44.0,0,naprej
4,72.87,17.13,0.179,45.0,0,naprej
5,72.76,17.24,0.178,45.0,0,naprej
6,72.17,17.83,0.176,46.0,0,naprej
7,71.44,18.56,0.177,48.0,0,naprej
8,70.60,19.40,0.176,50.0,0,naprej
9,70.24,19.76,0.177,51.0,0,naprej
10,69.40,20.60,0.176,53.0,0,naprej
11,69.04,20.96,0.177,54.0,0,naprej
12,67.85,22.15,0.177,57.0,0,naprej
13,67.50,22.50,0.177,58.0,0,naprej
14,66.65,23.35,0.177,60.0,1,naprej
15,66.00,24.00,0.176,61.0,1,naprej
16,65.65,24.35,0.176,62.0,1,naprej
17,64.80,25.20,0.176,64.0,0,
18,64.45,25.55,0.177,65.0,0,
19,64.11,25.89,0.177,66.0,0,
20,63.77,26.23,0.178,67.0,0,
21,63.60,26.40,0.176,67.0,0,
22,63.27,26.73,0.177,68.0,0,
23,63.09,26.91,0.176,68.0,0,
24,62.75,27.25,0.176,69.0,0,
25,62.75,27.25,0.176,69.0,0,
26,62.42,27.58,0.177,70.0,0,
27,62.42,27.58,0.177,70.0,0,
28,62.24,27.76,0.176,70.0,0,
29,61.73,28.27,0.176,71.0,0,
30,61.91,28.09,0.177,71.0,0,
31,61.73,28.27,0.176,71.0,0,
32,61.39,28.61,0.176,72.0,0,
33,61.06,28.94,0.177,73.0,0,
34,60.87,29.13,0.176,73.0,0,
35,61.06,28.94,0.177,73.0,0,
36,61.06,28.94,0.177,73.0,0,
37,61.06,28.94,0.177,73.0,0,
38,61.39,28.61,0.176,72.0,0,
39,61.06,28.94,0.177,73.0,0,
40,61.06,28.94,0.177,73.0,0,
41,61.06,28.94,0.177,73.0,0,
42,61.06,28.94,0.177,73.0,0,
43,61.39,28.61,0.176,72.0,0,
44,61.57,28.43,0.177,72.0,0,
45,61.39,28.61,0.176,72.0,0,
46,61.73,28.27,0.176,71.0,0,
47,61.39,28.61,0.176,72.0,0,
48,61.57,28.43,0.177,72.0,0,
49,61.57,28.43,0.177,72.0,0,
50,62.08,27.92,0.178,71.0,0,
51,62.08,27.92,0.178,71.0,0,
52,62.42,27.58,0.177,70.0,0,
53,62.08,27.92,0.178,71.0,0,
54,62.59,27.41,0.178,70.0,0,
55,62.59,27.41,0.178,70.0,0,
56,62.59,27.41,0.178,70.0,0,
57,63.10,26.90,0.179,69.0,0,
58,62.76,27.24,0.179,70.0,0,
59,63.27,26.73,0.180,69.0,0,
60,63.43,26.57,0.181,69.0,0,
61,63.94,26.06,0.179,67.0,0,
62,64.27,25.73,0.181,67.0,0,
63,64.60,25.40,0.180,66.0,0,
64,64.76,25.24,0.181,66.0,0,
65,65.10,24.90,0.181,65.0,0,naprej
66,65.59,24.41,0.181,64.0,0,naprej
67,66.26,23.74,0.180,62.0,0,naprej
68,66.56,23.44,0.183,62.0,0,naprej
69,66.90,23.10,0.182,61.0,0,naprej
70,67.58,22.42,0.181,59.0,0,naprej
71,67.72,22.28,0.182,59.0,0,naprej
72,68.06,21.94,0.182,58.0,0,naprej
73,68.20,21.80,0.183,58.0,0,naprej
74,68.54,21.46,0.182,57.0,0,naprej
75,68.88,21.12,0.182,56.0,0,naprej
76,68.67,21.33,0.184,57.0,0,naprej
77,68.88,21.12,0.182,56.0,0,naprej
78,68.88,21.12,0.182,56.0,0,naprej
79,68.88,21.12,0.182,56.0,1,naprej
80,68.75,21.25,0.181,56.0,1,naprej
81,68.88,21.12,0.182,56.0,1,naprej
82,68.88,21.12,0.182,56.0,1,naprej
83,68.88,21.12,0.182,56.0,1,naprej
84,68.88,21.12,0.182,56.0,1,naprej
85,68.88,21.12,0.182,56.0,1,naprej
86,68.88,21.12,0.182,56.0,1,naprej
87,68.75,21.25,0.181,56.0,1,naprej
88,68.88,21.12,0.182,56.0,1,naprej
89,68.88,21.12,0.182,56.0,1,naprej
90,68.88,21.12,0.182,56.0,1,naprej
